table	scope	mainCount	sourceCount	candidateCount	mainSHA256	sourceSHA256	candidateSHA256
tblCourseRetakeQuota	main-preserved	292	0	292	baf76c84962fbe160876f26cfd4747f15de768f37c81f63d349aab6762004bff	1a658dfd2fc573a1367c1b37c49ca451918ef2c7d3b0ce8940eb5282dff9cf1a	baf76c84962fbe160876f26cfd4747f15de768f37c81f63d349aab6762004bff
tblCourseSchedule	main-preserved	292	292	292	7467734157a12b2720654d70c48838252ebba2900a4fbd1f68f924790bfcc888	b8aad319a7d84a5e599c0ba743af9dc3252470ef859f53c2f41ce200c998f3f7	7467734157a12b2720654d70c48838252ebba2900a4fbd1f68f924790bfcc888
tblCourseSelectionPhase	main-preserved	2	2	2	897f60b2f9fe4bf6e744d617376f152aff991198306b8418a5a6406132d9de15	ab4ab2e28829f396c1c1df399ba1f6d544472301f56b4540a7941901a2d21477	897f60b2f9fe4bf6e744d617376f152aff991198306b8418a5a6406132d9de15
tblCrossCourseApplication	main-preserved	2	0	2	b7948a8269e23fbb032c8a2c968d3a0bfaa9cd68b68621bacf59a08868d4f256	ABSENT	b7948a8269e23fbb032c8a2c968d3a0bfaa9cd68b68621bacf59a08868d4f256
tblDepartment	main-preserved	9	9	9	1e4d8b71f85eba27e588df88e1dbf77df3e44b2f9ddd5463af83adf6dbcfa8a9	37760efed7f447c3e74e59461a0b59115dd45901f9dc9af886e25aaaba08605b	1e4d8b71f85eba27e588df88e1dbf77df3e44b2f9ddd5463af83adf6dbcfa8a9
tblEnrollment	main-preserved	2721	2721	2721	db915a6dbea1af7c1ed0e7753ac0d79289fe4449e2760aff3f3e7e3c38d12826	da28099a1543c9dbb2bd6137e781b4d83409957ae2717096b896fee7dfa5f9a9	db915a6dbea1af7c1ed0e7753ac0d79289fe4449e2760aff3f3e7e3c38d12826
tblEnrollmentAdjustment	main-preserved	20	20	20	8045122d6718c63922b3e03e3d89a912298ed7ce4b16b64ffdde2a946f8aea47	8045122d6718c63922b3e03e3d89a912298ed7ce4b16b64ffdde2a946f8aea47	8045122d6718c63922b3e03e3d89a912298ed7ce4b16b64ffdde2a946f8aea47
tblInventoryReservation	commerce-source	600	600	600	c3e1099bb7b0161729c433a3b0f6d54f2573e5f27dae39be783e65b46fcf0bb6	13f5bc84025ac6cdbe6e0f5b45dcce4f96f88f89dffe2fe4228217025a7b1bf1	13f5bc84025ac6cdbe6e0f5b45dcce4f96f88f89dffe2fe4228217025a7b1bf1
tblLibraryPolicy	main-preserved	2	2	2	ca5b40fe4bde0cb26f50803978125d2fb0e66d5fef7937f8f0b0f8a64bf49df2	ca5b40fe4bde0cb26f50803978125d2fb0e66d5fef7937f8f0b0f8a64bf49df2	ca5b40fe4bde0cb26f50803978125d2fb0e66d5fef7937f8f0b0f8a64bf49df2
tblMajor	main-preserved	15	15	15	8278a5671997c73c66a570edd23a22f32bdd5a86d7d35f5fe753d838e8a73575	f2de4a4302b947e9c9a34872efda4218b13ab5e2d8e7f51b9097814b68b92a19	8278a5671997c73c66a570edd23a22f32bdd5a86d7d35f5fe753d838e8a73575
tblMajorTransferApplication	main-preserved	10	10	10	612251f23050d695f765b259c9f8f0143948e6e6fd274bc6ebfc7ccc5db84f52	612251f23050d695f765b259c9f8f0143948e6e6fd274bc6ebfc7ccc5db84f52	612251f23050d695f765b259c9f8f0143948e6e6fd274bc6ebfc7ccc5db84f52
tblMajorTransferAttachment	main-preserved	0	0	0	6047d3a851d63fe9f68c25d66650a99ae8069d1981d81206777169a820187df0	6047d3a851d63fe9f68c25d66650a99ae8069d1981d81206777169a820187df0	6047d3a851d63fe9f68c25d66650a99ae8069d1981d81206777169a820187df0
tblMajorTransferBatch	main-preserved	2	2	2	e731ccdb6b8b466856b65b64e5f94165ce85ce4bd30079207af263402ac90640	e731ccdb6b8b466856b65b64e5f94165ce85ce4bd30079207af263402ac90640	e731ccdb6b8b466856b65b64e5f94165ce85ce4bd30079207af263402ac90640
tblMajorTransferExecution	main-preserved	0	0	0	b59c27125c1416be182f4b2601d746968b0da75664af8eb750e0a35536d69f59	b59c27125c1416be182f4b2601d746968b0da75664af8eb750e0a35536d69f59	b59c27125c1416be182f4b2601d746968b0da75664af8eb750e0a35536d69f59
tblMajorTransferOption	main-preserved	3	3	3	c94ad558d8a0219e09e83a857ac8e30f2711664c825c5b376c02797ea0aa5f52	c94ad558d8a0219e09e83a857ac8e30f2711664c825c5b376c02797ea0aa5f52	c94ad558d8a0219e09e83a857ac8e30f2711664c825c5b376c02797ea0aa5f52
tblMajorTransferReview	main-preserved	7	7	7	cc6e2e30f3ddd140c1a28fe668d4f30ee38e4b16e907c5ffed6f5eaad0582214	cc6e2e30f3ddd140c1a28fe668d4f30ee38e4b16e907c5ffed6f5eaad0582214	cc6e2e30f3ddd140c1a28fe668d4f30ee38e4b16e907c5ffed6f5eaad0582214
tblNumberSequence	main-preserved	52	52	52	554640bd57d53fe9b36bfa00bb950162d222657a05a2bc4ee782f446fa39ea82	d37126335a199e635cdd87bbb7f19936a6372ccffc750dc11c6ae00d9509afa2	554640bd57d53fe9b36bfa00bb950162d222657a05a2bc4ee782f446fa39ea82
tblOrder	commerce-source	602	606	606	16995c8e051665f5e4d7c4a901358eec38814492586b12d7c43a142dae176276	57fc6cd5112ad320d23ac5af17b09b78137d34b60a5022d85d670b9df0cedb67	57fc6cd5112ad320d23ac5af17b09b78137d34b60a5022d85d670b9df0cedb67
tblOrderGroup	commerce-source	602	606	606	4be3923c90b31a0d787ec2ba968f0841dffa520b4be463ec3d6723345d4fd0ad	1a93f6d6d5bb1022eb3a0a1d66bb7aa7b190c106f42e9ccaed3072b74390c608	1a93f6d6d5bb1022eb3a0a1d66bb7aa7b190c106f42e9ccaed3072b74390c608
tblOrderItem	commerce-source	602	611	611	fd8c74d383e69463f3d138d9e27ff31e09068b8ec81b922a199c7525d75d2171	694865ff52ae5018cc35527bd5b58edd98d0bbfa12c823fd74bb5a6fff45a7b0	694865ff52ae5018cc35527bd5b58edd98d0bbfa12c823fd74bb5a6fff45a7b0
tblPayment	commerce-source	602	602	602	863dca710c18fbe2e55708b6d5cbea0b638f0ef14d66a4c2d952648c16f5db2a	06337dca102cd149f327529ee81ad14eea94ace04c41297fd40ea959694a0898	06337dca102cd149f327529ee81ad14eea94ace04c41297fd40ea959694a0898
tblPaymentAttempt	commerce-source	550	550	550	909046ada8a71248ad9782d952d4eec9312b191d3a56d03775a4f667bea7a08d	909046ada8a71248ad9782d952d4eec9312b191d3a56d03775a4f667bea7a08d	909046ada8a71248ad9782d952d4eec9312b191d3a56d03775a4f667bea7a08d
tblPermission	main-preserved	14	14	14	98b512fdecdbb5d3ef259233317a7f84780277a1576ca5b2acf430aac6b40869	98b512fdecdbb5d3ef259233317a7f84780277a1576ca5b2acf430aac6b40869	98b512fdecdbb5d3ef259233317a7f84780277a1576ca5b2acf430aac6b40869
tblProduct	commerce-source	603	603	603	2dd2b7cd030a989a47260ae35fa5ca95dde3a2952644230dffc5159779a6aa6a	af0bb07be890ae39229384a3cb2d5d82cfe8bde49a4776e51cc9693dc5526143	af0bb07be890ae39229384a3cb2d5d82cfe8bde49a4776e51cc9693dc5526143
tblProductCatalog	commerce-source	0	0	0	ABSENT	06fdbbdaa266e7013e8507d25196e001fcd0584ed0ed85cdf826f37bb3eb6369	06fdbbdaa266e7013e8507d25196e001fcd0584ed0ed85cdf826f37bb3eb6369
tblProductSku	commerce-source	1203	1203	1203	a53deb0e0e70fb15053ccf479d0e6367fef3e68476abd33e5e2da232d58b6e07	3dfafc2d927dc118ca51a798a5e65879db6f1ca7e2b1f70f7ca0506ba65ffa5e	3dfafc2d927dc118ca51a798a5e65879db6f1ca7e2b1f70f7ca0506ba65ffa5e
tblRequestDedup	main-preserved	0	22	0	069dbfde0097b069cb4adbacf19889e94c8dc1a1dd695537c09812ccf27b40b6	24606faff569f412c5732d7eff1d3ddbc60c4d6bf8ba84e4e776856fac1d9af0	069dbfde0097b069cb4adbacf19889e94c8dc1a1dd695537c09812ccf27b40b6
tblRole	main-preserved	10	10	10	2c2fd1f827a32077c84e92611d85a738483224a79b302c84ef35de13def18723	2c2fd1f827a32077c84e92611d85a738483224a79b302c84ef35de13def18723	2c2fd1f827a32077c84e92611d85a738483224a79b302c84ef35de13def18723
tblRolePermission	main-preserved	17	15	17	fca2a70edbf4ca39f91f11ce0905df323ada4f99a85d86cc03682355ac4fa145	d60ba53d6846dded8b370510e691838c9cfda7bce87770986dc403f8a6bcc2f6	fca2a70edbf4ca39f91f11ce0905df323ada4f99a85d86cc03682355ac4fa145
tblSellerApplication	commerce-source	48	49	49	aa4df97c32d12ebd6ecb1975779d44092816069a9279ef3edbefefe151950696	d6026c8f80708e8523ccaae2b6fa62ba9515dccdeccb868d0f3ca3d8ea4de49e	d6026c8f80708e8523ccaae2b6fa62ba9515dccdeccb868d0f3ca3d8ea4de49e
tblShop	commerce-source	31	32	32	5f913de7f6f87a94e160f9b2751dc40cc7a6cca9928780e50c9baded05fabd6a	ae70fa49ca1b2f8a4b1f33520f761d7fab5914d24731cc18853f69ee78fb2751	ae70fa49ca1b2f8a4b1f33520f761d7fab5914d24731cc18853f69ee78fb2751
tblShopGovApplication	commerce-source	0	1	1	ABSENT	640f1884d75fd1033ce293238e4616ad14dde4199ed3a1299e1fb85d4e92ce2b	640f1884d75fd1033ce293238e4616ad14dde4199ed3a1299e1fb85d4e92ce2b
tblShopGovAudit	commerce-source	0	2	2	ABSENT	bbb9b12353643f5335c900f8d12964417a1669ba2a0f7e2d796cc26d566623b0	bbb9b12353643f5335c900f8d12964417a1669ba2a0f7e2d796cc26d566623b0
tblShopGovCase	commerce-source	0	0	0	ABSENT	305476def40a7eb300642fd7a79e98e9612b21fc937c8d6185589ff46ba652f1	305476def40a7eb300642fd7a79e98e9612b21fc937c8d6185589ff46ba652f1
tblShopGovReceipt	commerce-source	0	2	2	ABSENT	b173a86fef55755793382d833b8be96f9f1ed9ac3eaa8ace4b860a5e5e471909	b173a86fef55755793382d833b8be96f9f1ed9ac3eaa8ace4b860a5e5e471909
tblShopInventoryMovement	commerce-source	0	18	18	ABSENT	8382d74b900c2bb5777a2ec65d409d40a99af51626146ee67d9ec88d95bd922e	8382d74b900c2bb5777a2ec65d409d40a99af51626146ee67d9ec88d95bd922e
tblShopOrderEvent	commerce-source	0	7	7	ABSENT	3371797e957b4bf10878ce062f86a897055451a880427faf3b34956d5403459c	3371797e957b4bf10878ce062f86a897055451a880427faf3b34956d5403459c
tblShopOrderLineState	commerce-source	0	9	9	ABSENT	98e1323fb3ac4b1ee2009fbe65e4d5ea482d6b6580d6c377538ab8421f7b62ec	98e1323fb3ac4b1ee2009fbe65e4d5ea482d6b6580d6c377538ab8421f7b62ec
tblShopOrderReceipt	commerce-source	0	6	6	ABSENT	993cc8ed9675ee7e41c1dbbe7c75dd6f39e9c4446491b7e4706cf78b897c68b7	993cc8ed9675ee7e41c1dbbe7c75dd6f39e9c4446491b7e4706cf78b897c68b7
tblShopOrderState	commerce-source	0	4	4	ABSENT	17d3aee69c2692cbddc537eefafe077981739bb92adfcd38dc7ad95039924969	17d3aee69c2692cbddc537eefafe077981739bb92adfcd38dc7ad95039924969
tblShopProductRestriction	commerce-source	0	0	0	ABSENT	dd732e616d85dc11f29b837a86f04c2385debcecc6aee1c9b2c94e252f5b092f	dd732e616d85dc11f29b837a86f04c2385debcecc6aee1c9b2c94e252f5b092f
tblShopQualification	commerce-source	0	0	0	ABSENT	a99d8dbdc105aa8a238aa8ef04dd3693aa9a5c2de5993276bf4272625bed9f3b	a99d8dbdc105aa8a238aa8ef04dd3693aa9a5c2de5993276bf4272625bed9f3b
tblSkuDraftFields	commerce-source	0	0	0	ABSENT	e8514e833801e5fc445f6d59af3c72ac96775ee27dc1b9e2c7bd99ebe6333401	e8514e833801e5fc445f6d59af3c72ac96775ee27dc1b9e2c7bd99ebe6333401
tblStudent	main-preserved	1105	1105	1105	22e2226e011310318c0806b381bee4bb7d8994d48dc631678b0986925cc6175d	1a513cfb26cb39b3720d1730abfbad5e2fea60ac4d6615b8537326c4dba49841	22e2226e011310318c0806b381bee4bb7d8994d48dc631678b0986925cc6175d
tblStudentChange	main-preserved	0	0	0	eb472c47e86942fbdf129393a438d975b1e96f106aff04d7bf9867792eb42021	eb472c47e86942fbdf129393a438d975b1e96f106aff04d7bf9867792eb42021	eb472c47e86942fbdf129393a438d975b1e96f106aff04d7bf9867792eb42021
tblStudentCollegeAdministrator	main-preserved	4	4	4	3be5b4c9b17042042e48523965a606bd794451ebd232efb475677a0d2fa20338	42b949db7ca0b670cffff8933052190387c444250b964b9fc44b0eed72d56489	3be5b4c9b17042042e48523965a606bd794451ebd232efb475677a0d2fa20338
tblStudentGrade	main-preserved	0	0	0	fd927e2f0f17dcc60b750167d443a90456793856882fe81944296f2e33f3bc48	fd927e2f0f17dcc60b750167d443a90456793856882fe81944296f2e33f3bc48	fd927e2f0f17dcc60b750167d443a90456793856882fe81944296f2e33f3bc48
tblStudentProfileApplication	main-preserved	0	0	0	fe8fe89a3273dc45c14d7d726cd98a5f8dc329d45c7688177c937c8b1f881a0c	fe8fe89a3273dc45c14d7d726cd98a5f8dc329d45c7688177c937c8b1f881a0c	fe8fe89a3273dc45c14d7d726cd98a5f8dc329d45c7688177c937c8b1f881a0c
tblTerm	main-preserved	5	5	5	5d413bf429b771089f2a1c61e3f1ff503c839b7cf9961b7cb686b487501ef503	5fd09806ae185293badadf4b03b71f73f53731c44b9d540006459b88d42f5d27	5d413bf429b771089f2a1c61e3f1ff503c839b7cf9961b7cb686b487501ef503
tblTrainingPlan	main-preserved	41	41	41	3ea64fa9fc411c7145946031a0b041da4e97bce3f5a0671a8e49a59be881dfa7	4764111fe3fc65037fe1b2e827bcd6d0321e69fae56ff0a706a6f9598d7dd9d2	3ea64fa9fc411c7145946031a0b041da4e97bce3f5a0671a8e49a59be881dfa7
tblTrainingPlanCourse	main-preserved	4805	4804	4805	17c1ab3af541bb61def148ceb0cf79bc0b7821347f73aaa9bbc9de5160f440a4	1d0a64078ce3881d2ef41cfc6c91055c456b2b5c692361f7f67e9f3ad69b1017	17c1ab3af541bb61def148ceb0cf79bc0b7821347f73aaa9bbc9de5160f440a4
tblTrainingPlanPrerequisite	main-preserved	320	320	320	42b9b22a77cc02228c5ca368483a5fe404d37f60be4fd9e761ba7f3c3c3ccce7	42b9b22a77cc02228c5ca368483a5fe404d37f60be4fd9e761ba7f3c3c3ccce7	42b9b22a77cc02228c5ca368483a5fe404d37f60be4fd9e761ba7f3c3c3ccce7
tblUser	main-preserved	1173	1173	1173	1738eb369eedda7fb01503845bc648ac7f2968816b62f62029516a5338e6b885	40bc7d9cadec3003dd2f38c454b9c57724fc4f4305c2fe1351414971df945ed8	1738eb369eedda7fb01503845bc648ac7f2968816b62f62029516a5338e6b885
tblWalletAccount	commerce-source	0	4	4	ABSENT	ead7059d5853cc0b4debfe7d8f0b726e7bc5ea6931b2dae17aee27f0875deec0	ead7059d5853cc0b4debfe7d8f0b726e7bc5ea6931b2dae17aee27f0875deec0
tblWalletEntry	commerce-source	0	12	12	ABSENT	ae9e8fcfd242ebc1000beda55ada0f06afe3235cc1941cdec6f524229fb00b31	ae9e8fcfd242ebc1000beda55ada0f06afe3235cc1941cdec6f524229fb00b31
tblWalletEscrow	commerce-source	0	2	2	ABSENT	bd6d5981aca25c999ff0910633855ce251aabd88df6aac2d30f89e2779bc0bf4	bd6d5981aca25c999ff0910633855ce251aabd88df6aac2d30f89e2779bc0bf4
tblWalletOperation	commerce-source	0	6	6	ABSENT	05ffe74c77d0e809e4b79d15cbc46090bd85499cafeec47ed6b3a12dd88e27bf	05ffe74c77d0e809e4b79d15cbc46090bd85499cafeec47ed6b3a12dd88e27bf
FILE	E:\summer-school\tmp\main-commerce-data\main\vcampus-distribution\data\vCampus.accdb	ed04d83437156a147787ee23a18044012c459d754008403b49b9791dcd969c97
FILE	E:\summer-school\tmp\main-commerce-data\active.accdb	f4031a64a1c5f6e1e76b51b5c6312be1c4597614f0ae8dd63c28801122fb54c4
FILE	E:\summer-school\tmp\main-commerce-data\candidate.accdb	3aadf9689ba9cf38372c9fea4004bf8b1c0adc5636568cbcc79cfcbd365a003e
